water flow;water level;risque level,_high;risque level,_low;risque level,_mediam;risque level,_very high;Materiel Ressource,_Vehicle;Materiel Ressource,_Zodiac;Human Ressource,_Crisis cell;Human Ressource,_DDE;Human Ressource,_Firefighters;Human Ressource,_Gendarme;Human Ressource,_Mayor;Human Ressource,_Prefet
750.0;0.7;False;True;False;False;False;False;True;False;False;False;False;False
550.0;0.5;False;True;False;False;False;False;True;False;False;False;False;False
4350.0;12.2;False;False;False;True;False;False;True;False;False;False;False;False
4750.0;12.3;False;False;False;True;False;False;False;False;False;False;False;True
4950.0;12.4;False;False;False;True;False;False;False;False;False;False;False;True
4950.0;12.5;False;False;False;True;False;False;False;False;False;False;True;False
5050.0;12.6;False;False;False;True;False;True;False;False;True;False;False;False
3550.0;5.6;False;False;False;True;False;False;True;False;False;False;False;False
3650.0;5.4;True;False;False;False;False;False;False;False;False;False;False;True
3650.0;5.5;True;False;False;False;False;False;False;False;False;False;True;False
3750.0;5.2;True;False;False;False;False;False;False;False;False;False;False;True
3850.0;5.3;True;False;False;False;False;True;False;False;True;False;False;False
3800.0;5.5;True;False;False;False;False;False;True;False;False;False;False;False
3700.0;5.6;False;False;False;True;False;False;False;False;False;False;False;True
3900.0;5.7;False;False;False;True;False;False;False;False;False;False;False;True
3900.0;5.3;True;False;False;False;False;False;False;False;False;False;True;False
4000.0;5.4;True;False;False;False;False;True;False;False;True;False;False;False
3650.0;5.6;False;False;False;True;False;False;True;False;False;False;False;False
3750.0;5.7;False;False;False;True;False;False;False;False;False;False;False;True
3650.0;5.8;False;False;False;True;False;False;False;False;False;False;True;False
3950.0;5.9;False;False;False;True;False;False;False;False;False;False;False;True
3950.0;5.4;True;False;False;False;False;False;False;False;False;True;False;False
3700.0;5.6;False;False;False;True;False;False;True;False;False;False;False;False
3900.0;5.7;False;False;False;True;False;False;False;False;False;False;False;True
4100.0;5.8;False;False;False;True;False;False;False;False;False;False;True;False
4100.0;5.9;False;False;False;True;False;False;False;False;False;False;False;True
4100.0;5.2;True;False;False;False;False;True;False;False;True;False;False;False
5790.0;5.8;False;False;False;True;False;False;True;False;False;False;False;False
2580.0;3.05;True;False;False;False;False;False;True;False;False;False;False;False
2580.0;3.15;True;False;False;False;False;False;False;False;False;False;False;True
2580.0;3.25;True;False;False;False;False;False;False;False;False;False;True;False
2580.0;3.35;True;False;False;False;False;False;False;True;False;False;False;False
2580.0;3.45;True;False;False;False;False;False;False;True;False;False;False;False
5890.0;5.9;False;False;False;True;False;False;False;False;False;False;False;True
5990.0;6.0;False;False;False;True;False;False;False;False;False;False;False;True
6090.0;6.1;False;False;False;True;False;False;False;False;False;False;True;False
6290.0;5.2;True;False;False;False;False;True;False;False;True;False;False;False
5700.0;7.0;False;False;False;True;False;False;True;False;False;False;False;False
2580.0;3.25;True;False;False;False;False;False;True;False;False;False;False;False
2580.0;3.45;True;False;False;False;False;False;False;False;False;False;True;False
2580.0;3.65;True;False;False;False;False;False;False;False;False;False;False;True
2580.0;3.85;True;False;False;False;False;False;False;True;False;False;False;False
2580.0;4.05;True;False;False;False;False;False;False;True;False;False;False;False
2680.0;4.25;True;False;False;False;False;False;True;False;False;False;False;False
2680.0;4.45;True;False;False;False;False;False;False;False;False;False;True;False
2680.0;4.65;True;False;False;False;False;False;False;False;False;False;False;True
2680.0;4.85;True;False;False;False;False;False;False;True;False;False;False;False
2680.0;5.05;True;False;False;False;False;False;False;True;False;False;False;False
2680.0;4.35;True;False;False;False;False;False;True;False;False;False;False;False
2680.0;4.55;True;False;False;False;False;False;False;False;False;False;True;False
2680.0;4.75;True;False;False;False;False;False;False;False;False;False;False;True
2680.0;4.95;True;False;False;False;False;False;False;True;False;False;False;False
2780.0;3.15;True;False;False;False;False;False;False;True;False;False;False;False
2780.0;3.15;True;False;False;False;False;False;True;False;False;False;False;False
2780.0;3.15;True;False;False;False;False;False;False;False;False;False;True;False
2780.0;3.15;True;False;False;False;False;False;False;False;False;False;False;True
2780.0;3.15;True;False;False;False;False;False;False;True;False;False;False;False
2780.0;3.15;True;False;False;False;False;False;False;True;False;False;False;False
2780.0;3.25;True;False;False;False;False;False;True;False;False;False;False;False
2780.0;3.25;True;False;False;False;False;False;False;False;False;False;True;False
2780.0;3.25;True;False;False;False;False;False;False;False;False;False;False;True
2880.0;3.25;True;False;False;False;False;False;False;True;False;False;False;False
2880.0;3.05;True;False;False;False;False;False;False;True;False;False;False;False
2880.0;3.65;True;False;False;False;False;False;True;False;False;False;False;False
2880.0;3.75;True;False;False;False;False;False;False;False;False;False;False;True
2880.0;3.85;True;False;False;False;False;False;False;False;False;False;True;False
2880.0;3.95;True;False;False;False;False;False;False;True;False;False;False;False
2980.0;4.05;True;False;False;False;False;False;False;True;False;False;False;False
2980.0;3.05;True;False;False;False;False;False;True;False;False;False;False;False
2980.0;3.15;True;False;False;False;False;False;False;False;False;False;True;False
2980.0;3.35;True;False;False;False;False;False;False;False;False;False;False;True
2980.0;3.55;True;False;False;False;False;False;False;True;False;False;False;False
2980.0;3.75;True;False;False;False;False;False;False;True;False;False;False;False
3080.0;3.0;True;False;False;False;False;False;True;False;False;False;False;False
3080.0;3.1;True;False;False;False;False;False;False;False;False;False;True;False
3080.0;3.2;True;False;False;False;False;False;False;False;False;False;False;True
3080.0;3.3;True;False;False;False;False;False;False;True;False;False;False;False
3080.0;3.4;True;False;False;False;False;False;False;True;False;False;False;False
3080.0;3.2;True;False;False;False;False;False;True;False;False;False;False;False
3180.0;3.3;True;False;False;False;False;False;False;False;False;False;True;False
3180.0;3.4;True;False;False;False;False;False;False;False;False;False;False;True
3180.0;3.5;True;False;False;False;False;False;False;True;False;False;False;False
3180.0;3.6;True;False;False;False;False;False;False;True;False;False;False;False
3180.0;3.7;True;False;False;False;False;False;True;False;False;False;False;False
3180.0;3.8;True;False;False;False;False;False;False;False;False;False;True;False
3280.0;4.0;True;False;False;False;False;False;False;False;False;False;False;True
3280.0;4.2;True;False;False;False;False;False;False;True;False;False;False;False
3280.0;3.05;True;False;False;False;False;False;False;True;False;False;False;False
5900.0;7.1;False;False;False;True;False;False;False;False;False;False;False;True
6100.0;7.2;False;False;False;True;False;False;False;False;False;False;True;False
6200.0;7.3;False;False;False;True;False;False;False;False;False;False;False;True
6300.0;5.0;True;False;False;False;False;True;False;False;True;False;False;False
6000.0;5.8;False;False;False;True;False;False;True;False;False;False;False;False
3280.0;3.15;True;False;False;False;False;False;True;False;False;False;False;False
3280.0;3.1;True;False;False;False;False;False;False;False;False;False;True;False
3280.0;3.3;True;False;False;False;False;False;False;False;False;False;False;True
3380.0;3.25;True;False;False;False;False;False;False;True;False;False;False;False
3380.0;3.15;True;False;False;False;False;False;False;True;False;False;False;False
1880.0;1.75;False;True;False;False;False;False;True;False;False;False;False;False
